Victoria Land,,,,
Start YYYY-MM-DD,Start Time UTC,End YYYY-MM-DD,End Time UTC,
1992-11-22,21:00,1992-11-24,03:00,skirt
1993-03-23,09:00,1993-03-24,15:00,skirt
1993-07-29,00:00,1993-07-31,12:00,skirt
1993-08-08,15:00,1993-08-09,18:00,skirt
1994-04-20,06:00,1994-04-22,15:00,
1994-07-04,12:00,1994-07-05,21:00,skirt
1994-07-27,03:00,1994-07-28,18:00,skirt
1994-09-07,09:00,1994-09-08,15:00,skirt
1994-11-14,12:00,1994-11-16,18:00,
1995-08-31,15:00,1995-09-02,21:00,skirt
1996-03-19,12:00,1996-03-22,18:00,skirt
1996-05-23,03:00,1996-05-26,21:00,
1996-08-14,03:00,1996-08-18,12:00,
1996-11-09,09:00,1996-11-10,09:00,skirt
1996-11-23,00:00,1996-11-26,15:00,
1997-04-17,03:00,1997-04-20,03:00,
1997-05-25,18:00,1997-05-26,18:00,skirt
1997-08-26,06:00,1997-08-28,06:00,
1997-09-07,21:00,1997-09-09,00:00,skirt
1997-10-15,15:00,1997-10-18,00:00,
1998-02-13,18:00,1998-02-16,00:00,
1998-03-29,18:00,1998-03-31,21:00,
1998-05-05,18:00,1998-05-07,00:00,skirt
1998-06-06,06:00,1998-06-07,18:00,skirt
1998-07-05,06:00,1998-07-07,15:00,skirt
1998-09-13,18:00,1998-09-18,06:00,
1998-09-20,06:00,1998-09-21,15:00,skirt
1999-07-29,06:00,1999-07-30,06:00,skirt
1999-08-31,00:00,1999-08-31,21:00,skirt
1999-10-15,18:00,1999-10-16,15:00,skirt
1999-12-04,06:00,1999-12-05,06:00,skirt
2000-05-14,09:00,2000-05-15,12:00,skirt
2000-07-11,21:00,2000-07-13,03:00,skirt
2000-10-10,06:00,2000-10-12,21:00,
2001-01-15,00:00,2001-01-18,00:00,
2001-03-12,00:00,2001-03-13,00:00,
2001-08-01,06:00,2001-08-03,03:00,skirt
2002-10-08,21:00,2002-10-10,09:00,skirt
2003-01-19,12:00,2003-01-23,06:00,
2003-02-23,12:00,2003-02-24,18:00,skirt
2003-06-16,21:00,2003-06-18,00:00,skirt
2003-11-10,15:00,2003-11-13,21:00,
2003-12-04,03:00,2003-12-06,21:00,
2004-01-09,00:00,2004-01-11,06:00,
2004-02-17,12:00,2004-02-22,21:00,
2004-03-09,18:00,2004-03-10,15:00,skirt
2004-03-21,09:00,2004-03-23,21:00,
2004-11-16,00:00,2004-11-19,00:00,
2005-02-19,03:00,2005-02-22,03:00,
2005-04-19,06:00,2005-04-21,06:00,skirt
2005-04-24,09:00,2005-04-26,03:00,skirt
2005-08-13,00:00,2005-08-14,06:00,skirt
2005-10-05,03:00,2005-10-06,06:00,skirt
2005-11-16,21:00,2005-11-19,12:00,
2005-12-29,06:00,2005-12-31,21:00,
2006-01-05,18:00,2006-01-08,09:00,
2006-02-01,21:00,2006-02-04,06:00,
2006-05-02,18:00,2006-05-04,06:00,skirt
2006-10-15,18:00,2006-10-17,03:00,skirt
2006-10-27,00:00,2006-10-27,21:00,skirt
2006-11-01,21:00,2006-11-06,15:00,
2006-11-25,06:00,2006-11-26,21:00,skirt
2007-03-03,12:00,2007-03-04,21:00,skirt
2007-03-14,00:00,2007-03-16,00:00,skirt
2007-05-24,18:00,2007-05-25,21:00,skirt
2007-07-17,03:00,2007-07-18,18:00,skirt
2007-07-23,15:00,2007-07-25,15:00,
2007-10-23,06:00,2007-10-25,09:00,
2008-01-08,12:00,2008-01-12,18:00,
2008-03-06,00:00,2008-03-08,21:00,
2008-03-29,00:00,2008-03-31,06:00,
2008-07-02,03:00,2008-07-04,15:00,
2008-08-17,09:00,2008-08-19,00:00,skirt
2008-10-11,21:00,2008-10-14,09:00,
2008-10-31,21:00,2008-11-02,21:00,
2008-12-02,15:00,2008-12-05,18:00,skirt
2009-02-20,15:00,2009-02-21,21:00,skirt
2009-05-01,08:00,2009-05-03,02:00,skirt
2010-03-04,20:00,2010-03-06,10:00,skirt
2010-10-16,17:00,2010-10-18,08:00,skirt
2010-11-08,05:00,2010-11-09,08:00,skirt
2010-11-14,05:00,2010-11-15,11:00,skirt
2011-02-19,22:00,2011-02-22,01:00,
2011-03-07,10:00,2011-03-09,18:00,
2011-04-17,10:00,2011-04-19,21:00,skirt
2011-05-09,14:00,2011-05-10,14:00,skirt
2011-08-02,02:00,2011-08-04,06:00,
2011-09-13,19:00,2011-09-14,19:00,skirt
2011-10-08,08:00,2011-10-10,16:00,skirt
2012-01-11,05:00,2012-01-14,01:00,skirt
2012-05-24,15:00,2012-05-27,08:00,
2012-08-08,19:00,2012-08-10,16:00,skirt
2012-09-24,18:00,2012-09-26,02:00,skirt